weight,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence
0.32,5.31,3.95,2.46,0,0,0,0,1,0,0,0,3.0,2.0,0.0,1.0,1.0,0.0
0.5,4.55,4.4,2.98,1,0,0,0,0,0,0,0,3.0,7.0,0.0,0.0,1.0,4.0
0.4,4.46,5.27,3.02,0,0,1,0,0,0,0,0,7.0,3.0,0.0,0.0,2.0,0.0
0.91,5.5,5.4,3.65,1,0,0,0,0,0,0,0,5.0,6.0,0.0,0.0,0.0,0.0
0.4,4.32,5.0,3.06,0,0,1,0,0,0,0,0,4.0,7.0,2.0,0.0,1.0,4.0
0.73,7.74,4.99,3.15,0,0,0,0,0,1,0,0,7.0,2.0,0.0,0.0,1.0,3.0
0.31,3.86,3.74,2.58,0,0,0,0,0,0,1,0,5.0,2.0,0.0,1.0,2.0,0.0
0.5,5.05,4.21,2.83,1,0,0,0,0,0,0,0,4.0,6.0,0.0,0.0,1.0,0.0
0.3,4.8,3.16,2.06,0,1,0,0,0,0,0,0,3.0,2.0,0.0,1.0,2.0,0.0
0.8,5.23,5.12,3.47,1,0,0,0,0,0,0,0,4.0,6.0,0.0,0.0,1.0,0.0
0.36,4.78,3.53,2.27,0,1,0,0,0,0,0,0,2.0,2.0,0.0,0.0,1.0,3.0
0.32,4.13,4.81,2.75,0,0,1,0,0,0,0,0,5.0,5.0,0.0,0.0,1.0,0.0
0.9,6.14,6.16,3.85,0,0,0,0,0,0,0,1,7.0,11.0,0.0,0.0,0.0,0.0
0.96,5.77,5.71,3.58,1,0,0,0,0,0,0,0,7.0,5.0,0.0,0.0,0.0,5.0
0.33,4.58,3.39,2.22,0,1,0,0,0,0,0,0,3.0,2.0,0.0,1.0,2.0,0.0
0.41,4.78,4.8,2.97,0,0,0,0,0,0,0,1,5.0,3.0,0.0,0.0,0.0,3.0
1.2,9.18,5.95,3.49,0,0,0,0,1,0,0,0,7.0,11.0,0.0,1.0,2.0,3.0
0.5,6.87,4.45,2.6,0,0,0,0,1,0,0,0,4.0,5.0,0.0,0.0,1.0,0.0
0.3,3.97,4.77,2.73,0,0,1,0,0,0,0,0,5.0,3.0,1.0,1.0,2.0,0.0
0.5,6.7,4.21,2.62,0,0,0,0,1,0,0,0,6.0,1.0,0.0,1.0,2.0,0.0
0.3,5.12,3.85,2.42,0,0,0,0,1,0,0,0,7.0,1.0,1.0,0.0,2.0,4.0
1.01,5.74,5.58,3.78,1,0,0,0,0,0,0,0,7.0,2.0,0.0,1.0,1.0,0.0
0.81,5.27,5.19,3.52,1,0,0,0,0,0,0,0,3.0,5.0,0.0,0.0,1.0,0.0
0.4,4.66,4.69,2.95,0,0,0,0,0,0,0,1,5.0,4.0,0.0,0.0,0.0,3.0
0.41,4.92,3.63,2.44,0,1,0,0,0,0,0,0,5.0,1.0,0.0,0.0,1.0,4.0
0.5,5.06,4.23,2.84,1,0,0,0,0,0,0,0,6.0,4.0,0.0,0.0,1.0,0.0
0.81,5.55,5.1,3.47,1,0,0,0,0,0,0,0,6.0,1.0,0.0,0.0,0.0,0.0
0.53,5.2,5.23,3.24,0,0,0,0,0,0,0,1,6.0,1.0,0.0,0.0,0.0,4.0
0.86,5.43,5.3,3.56,1,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,1.0,3.0
0.8,5.34,5.05,3.53,1,0,0,0,0,0,0,0,5.0,7.0,1.0,0.0,1.0,3.0
0.33,4.55,3.36,2.29,0,1,0,0,0,0,0,0,2.0,2.0,1.0,1.0,2.0,0.0
0.4,4.74,5.03,2.79,0,0,1,0,0,0,0,0,4.0,7.0,1.0,0.0,1.0,3.0
0.23,3.91,3.93,2.44,0,0,0,0,0,0,0,1,3.0,1.0,0.0,0.0,0.0,0.0
0.3,4.11,4.65,2.6,0,0,1,0,0,0,0,0,5.0,1.0,0.0,0.0,2.0,3.0
0.71,5.12,4.89,3.27,1,0,0,0,0,0,0,0,3.0,8.0,0.0,0.0,1.0,0.0
0.7,6.87,5.05,3.11,0,0,0,0,1,0,0,0,3.0,7.0,0.0,1.0,1.0,0.0
0.3,3.99,4.74,2.79,0,0,1,0,0,0,0,0,5.0,1.0,0.0,1.0,1.0,0.0
0.5,4.44,4.37,3.19,0,0,0,0,0,0,1,0,5.0,6.0,0.0,1.0,2.0,0.0
0.5,4.98,5.04,3.18,0,0,0,0,0,0,0,1,6.0,1.0,1.0,0.0,2.0,0.0
