id,shape,weight,clarity,color,cut,polish,symmetry,fluorescence,price,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence,is_outlier
1786294,ROUND,0.4,VVS2,I,EX,EX,EX,N,1533.95,4.71,4.74,2.95,0,0,0,0,0,0,0,1,3.0,6.0,0.0,0.0,0.0,0.0,False
1786752,PRINCESS,0.3,VS1,D,EX,EX,GD,N,971.75,3.69,3.64,2.53,0,0,0,0,0,0,1,0,4.0,1.0,0.0,0.0,2.0,0.0,False
1790625,ROUND,0.4,SI1,F,EX,EX,EX,N,1533.95,4.69,4.71,2.94,0,0,0,0,0,0,0,1,6.0,3.0,0.0,0.0,0.0,0.0,False
1637754,ROUND,0.5,SI1,G,EX,EX,EX,N,2448.49,5.04,5.07,3.16,0,0,0,0,0,0,0,1,6.0,4.0,0.0,0.0,0.0,0.0,False
1781168,CUSHION,0.5,VS1,W-X,EX,EX,VG,N,1142.44,4.78,4.38,2.94,1,0,0,0,0,0,0,0,4.0,18.0,0.0,0.0,1.0,0.0,False
1763908,EMERALD,0.4,SI1,H,EX,VG,VG,N,1031.63,5.25,3.38,2.31,0,1,0,0,0,0,0,0,6.0,5.0,0.0,1.0,1.0,0.0,False
1645390,ROUND,0.23,VS1,E,EX,EX,EX,N,951.72,4.02,4.03,2.38,0,0,0,0,0,0,0,1,4.0,2.0,0.0,0.0,0.0,0.0,False
1767622,ROUND,0.5,SI2,F,VG,EX,VG,N,2034.07,5.13,5.19,3.03,0,0,0,0,0,0,0,1,7.0,3.0,1.0,0.0,1.0,0.0,False
1777203,ROUND,0.35,VS2,D,EX,EX,EX,N,1366.08,4.51,4.54,2.81,0,0,0,0,0,0,0,1,5.0,1.0,0.0,0.0,0.0,0.0,False
1781275,EMERALD,0.4,VVS1,H,VG,GD,GD,F,1164.88,5.49,3.49,2.06,0,1,0,0,0,0,0,0,2.0,5.0,1.0,2.0,2.0,3.0,False
1799595,CUSHION,0.71,SI2,I,EX,EX,EX,N,2088.89,4.98,4.97,3.37,1,0,0,0,0,0,0,0,7.0,6.0,0.0,0.0,0.0,0.0,False
1794652,OVAL,0.66,VS2,G,VG,EX,GD,ST,2142.72,6.53,4.91,3.02,0,0,0,0,1,0,0,0,5.0,4.0,1.0,0.0,2.0,5.0,False
