id,shape,weight,clarity,color,cut,polish,symmetry,fluorescence,price,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence
1608844,PRINCESS,0.5,SI1,K,EX,EX,VG,N,965.72,4.31,4.25,3.09,0,0,0,0,0,0,1,0,6.0,8.0,0.0,0.0,1.0,0.0
1781737,PRINCESS,0.33,VVS1,G,EX,EX,GD,F,967.1,3.86,3.8,2.71,0,0,0,0,0,0,1,0,2.0,4.0,0.0,0.0,2.0,3.0
1771763,PRINCESS,0.3,VVS2,E,EX,EX,VG,N,967.69,3.72,3.66,2.61,0,0,0,0,0,0,1,0,3.0,2.0,0.0,0.0,1.0,0.0
1786747,PRINCESS,0.31,VVS1,E,EX,EX,GD,F,969.38,3.84,3.75,2.56,0,0,0,0,0,0,1,0,2.0,2.0,0.0,0.0,2.0,3.0
1786748,PRINCESS,0.3,VVS1,E,EX,EX,GD,N,970.77,3.72,3.66,2.65,0,0,0,0,0,0,1,0,2.0,2.0,0.0,0.0,2.0,0.0
1786752,PRINCESS,0.3,VS1,D,EX,EX,GD,N,971.75,3.69,3.64,2.53,0,0,0,0,0,0,1,0,4.0,1.0,0.0,0.0,2.0,0.0
1788212,PRINCESS,0.5,VS2,L,VG,EX,GD,N,971.75,4.26,4.22,3.07,0,0,0,0,0,0,1,0,5.0,9.0,1.0,0.0,2.0,0.0
1785758,PRINCESS,0.37,VS2,G,EX,VG,GD,N,972.7,4.02,4.02,2.89,0,0,0,0,0,0,1,0,5.0,4.0,0.0,1.0,2.0,0.0
1780019,PRINCESS,0.3,VS2,G,VG,EX,VG,N,897.73,3.87,3.8,2.71,0,0,0,0,0,0,1,0,5.0,4.0,1.0,0.0,1.0,0.0
1769940,PRINCESS,0.31,VS2,H,EX,VG,GD,N,898.08,3.83,3.76,2.71,0,0,0,0,0,0,1,0,5.0,5.0,0.0,1.0,2.0,0.0
1763117,PRINCESS,0.33,VVS2,G,EX,VG,GD,N,898.56,3.94,3.87,2.72,0,0,0,0,0,0,1,0,3.0,4.0,0.0,1.0,2.0,0.0
1744320,PRINCESS,0.3,VS1,G,EX,VG,VG,N,898.76,3.73,3.7,2.49,0,0,0,0,0,0,1,0,4.0,4.0,0.0,1.0,1.0,0.0
1793448,PRINCESS,0.3,VS2,G,VG,EX,GD,N,899.27,3.66,3.57,2.64,0,0,0,0,0,0,1,0,5.0,4.0,1.0,0.0,2.0,0.0
1768134,PRINCESS,0.32,VS2,F,EX,VG,GD,N,899.37,3.94,3.86,2.64,0,0,0,0,0,0,1,0,5.0,3.0,0.0,1.0,2.0,0.0
